abell_id,ra,dec,richness_class,distance_class,bm_type,redshift
Abell 101,282.63,32.07,1,6,II-III,0.3074
Abell 102,201.10,80.18,3,1,III,0.1989
Abell 103,203.32,44.90,0,5,II-III,0.0861
Abell 104,172.83,84.62,0,2,II,0.0594
Abell 105,154.98,73.06,0,5,I-II,0.0908
Abell 106,248.29,-25.86,1,,,0.0107
Abell 107,252.53,59.47,0,5,I,0.2211
Abell 108,190.52,9.90,1,6,I-II,0.0363
Abell 109,29.29,-1.81,0,4,I-II,0.2343
Abell 110,346.23,82.22,1,3,I-II,0.0757
Abell 111,103.25,71.67,1,6,II-III,0.2762
Abell 112,79.81,32.64,1,5,,0.2939
Abell 113,244.15,27.98,1,1,II,0.2345
Abell 114,242.46,59.95,1,2,I-II,
Abell 115,242.20,55.31,0,4,,0.1101
Abell 116,63.72,-7.09,1,6,,
Abell 117,98.96,3.66,1,6,,0.0143
Abell 118,244.50,9.44,0,6,II-III,0.1288
Abell 119,40.74,-1.25,1,3,II-III,0.0440
Abell 120,92.81,-22.79,1,5,I,0.1420
Abell 121,351.08,85.99,1,5,,0.0571
Abell 122,312.83,-19.37,3,5,I,0.1177
Abell 123,10.36,-24.20,0,3,I,0.1654
Abell 124,292.28,88.89,1,4,I,
Abell 125,37.32,75.41,3,6,I,0.3305
Abell 126,95.20,77.62,1,4,I,0.3300
Abell 127,17.99,-20.50,3,5,I,0.1876
Abell 128,11.43,11.42,0,4,,0.2443
Abell 129,180.57,67.44,0,3,I,
Abell 130,208.12,25.42,2,5,III,0.0278
Abell 131,77.24,26.56,1,5,I-II,0.2980
Abell 132,135.57,-24.14,0,6,II-III,
Abell 133,42.25,-21.88,0,4,III,0.0566
Abell 134,275.27,86.40,2,5,II,
Abell 135,233.77,69.85,0,4,I,0.0569
Abell 136,210.93,40.64,1,5,,0.1849
Abell 137,230.55,60.50,0,6,III,0.0291
Abell 138,47.96,-1.99,1,5,II-III,0.1390
Abell 139,186.35,-10.42,0,5,I-II,0.0872
Abell 140,192.45,38.30,0,,I-II,
Abell 141,93.53,52.46,1,5,,0.2461
Abell 142,46.35,62.69,1,7,I,0.0193
Abell 143,259.82,39.99,0,3,I-II,0.1211
Abell 144,329.77,49.42,0,6,III,0.2206
Abell 145,189.76,37.56,0,5,I-II,0.0116
Abell 146,230.18,-22.67,0,7,II-III,
Abell 147,48.48,2.20,1,5,II-III,0.0440
Abell 148,7.51,7.01,0,5,II-III,0.2265
Abell 149,294.80,19.57,0,7,I,0.2083
Abell 150,320.57,-0.04,1,4,III,0.2658
Abell 151,48.81,-15.41,2,3,II-III,0.0530
Abell 152,297.56,-18.78,0,3,I,
Abell 153,213.14,85.49,0,4,II-III,0.1743
Abell 154,49.07,13.85,0,5,,0.0640
Abell 155,15.61,29.64,3,5,II-III,0.2900
Abell 156,262.05,5.28,2,5,II,0.0967
Abell 157,265.12,-19.56,3,4,III,
Abell 158,20.91,68.22,0,5,III,0.2768
Abell 159,155.37,41.14,0,,,
Abell 160,49.47,15.47,0,5,I-II,0.0447
Abell 161,226.05,-17.24,2,4,II-III,0.0507
Abell 162,63.11,28.38,1,4,I-II,0.3033
Abell 163,76.05,23.67,4,3,,0.0305
Abell 164,115.52,36.18,1,6,I,0.1944
Abell 165,122.40,69.94,4,5,I-II,0.0608
Abell 166,173.22,42.23,1,6,I-II,
Abell 167,315.73,-24.01,1,3,III,0.0751
Abell 168,49.72,0.23,0,6,,0.0450
Abell 169,312.41,12.06,1,,I,
Abell 170,98.93,-17.14,2,6,I,0.0502
Abell 171,29.91,24.80,1,4,I,
Abell 172,171.13,80.46,0,7,II,0.0620
Abell 173,352.90,25.07,3,6,I,0.3200
Abell 174,69.39,70.01,2,5,I-II,0.1122
Abell 175,63.96,59.74,2,5,I-II,0.1649
Abell 176,36.83,39.15,2,5,I,0.3036
Abell 177,237.18,4.48,0,7,III,
Abell 178,101.61,-6.09,1,3,I,0.2425
Abell 179,57.49,20.02,0,,II-III,0.2664
Abell 180,11.30,11.46,0,3,III,0.3115
Abell 181,223.05,-0.46,1,3,,0.1744
Abell 182,351.86,77.02,0,5,,0.2728
Abell 183,37.31,-12.33,2,2,II-III,0.0508
Abell 184,72.10,61.04,0,,II-III,
Abell 185,9.20,31.48,1,,III,0.1104
Abell 186,296.32,4.19,1,6,,0.3012
Abell 187,19.19,61.73,0,6,II-III,0.0345
Abell 188,135.42,59.34,1,5,II,0.2843
Abell 189,53.47,1.62,0,4,III,0.0340
Abell 190,236.38,48.58,1,3,II-III,0.3057
Abell 191,54.51,82.50,0,7,,
Abell 192,94.54,88.75,1,5,I-II,0.0573
Abell 193,53.80,8.70,0,3,I,0.0485
Abell 194,54.06,-1.37,1,4,I,0.0180
Abell 195,54.22,-1.10,0,5,III,0.0440
Abell 196,190.31,88.78,1,,,0.2847
Abell 197,28.08,41.66,1,5,,0.2691
Abell 198,324.55,37.25,2,5,III,0.0826
Abell 199,329.38,45.22,1,,III,0.2090
Abell 200,201.01,-16.20,0,6,I-II,0.0428
Abell 201,150.39,19.79,1,6,I,0.2452
Abell 202,146.99,48.97,0,5,I,0.2249
Abell 203,259.44,-4.19,0,5,I,0.2223
Abell 204,1.38,17.90,0,5,I,0.0487
Abell 205,342.86,-5.97,2,5,II,
Abell 206,351.63,50.71,0,4,I-II,0.0860
Abell 207,323.58,69.16,0,5,III,0.3342
Abell 208,12.03,-25.10,0,5,II-III,0.3476
Abell 209,32.83,63.07,1,,,0.2138
Abell 210,160.56,59.98,1,5,III,0.3141
Abell 211,343.60,68.21,2,5,II-III,0.2860
Abell 212,81.37,45.15,0,7,II,0.2894
Abell 213,288.66,11.84,2,4,III,0.1662
Abell 214,25.10,53.53,0,5,I,0.3114
Abell 215,113.60,49.48,0,7,II,0.3306
Abell 216,303.44,-3.14,1,7,II-III,0.0765
Abell 217,13.08,-24.79,0,6,II-III,0.3051
Abell 218,298.13,68.36,2,5,II-III,0.1212
Abell 219,61.88,87.14,1,6,III,
Abell 220,90.28,25.21,0,3,III,0.2205
Abell 221,346.99,-9.55,0,6,III,0.1265
Abell 222,198.44,34.10,1,5,II,0.2015
Abell 223,255.22,78.31,1,6,III,0.0491
Abell 224,342.85,83.41,1,6,,0.0423
Abell 225,264.89,5.68,0,6,III,0.0543
Abell 226,353.82,-22.60,2,5,I-II,0.0152
Abell 227,251.93,87.59,1,6,II,0.0307
Abell 228,113.44,64.55,0,5,,0.1955
Abell 229,118.87,82.99,0,5,II-III,0.1186
Abell 230,93.07,-17.97,1,,,0.0262
Abell 231,200.91,13.92,0,4,II-III,
Abell 232,213.01,85.28,2,5,II-III,0.1796
Abell 233,186.87,22.83,0,6,I-II,0.2280
Abell 234,259.03,50.77,1,,III,0.1414
Abell 235,150.36,-24.84,1,5,III,0.3104
Abell 236,272.29,34.64,2,5,,0.1937
Abell 237,220.55,19.47,2,5,,0.0670
Abell 238,53.43,27.18,0,,III,0.2583
Abell 239,35.83,62.63,0,3,III,
Abell 240,260.77,19.45,3,2,III,0.2639
Abell 241,67.18,64.33,1,5,II-III,0.0150
Abell 242,310.04,32.38,0,5,I,
Abell 243,223.90,10.63,0,5,I-II,0.2660
Abell 244,331.19,13.26,0,3,I-II,
Abell 245,232.43,77.96,1,,II-III,0.3322
Abell 246,66.02,9.33,0,5,I,0.0929
Abell 247,51.99,22.40,2,7,I,0.1687
Abell 248,89.16,-11.49,0,5,I,0.1644
Abell 249,62.00,19.04,1,5,III,0.3072
Abell 250,153.55,15.49,3,4,,0.0832
Abell 251,115.48,73.52,0,5,I-II,0.0207
Abell 252,5.66,37.86,2,6,,0.3210
Abell 253,211.44,36.18,0,5,I-II,0.1387
Abell 254,167.16,45.50,0,6,,
Abell 255,166.64,-2.87,3,6,I,
Abell 256,75.39,39.10,0,6,I,
Abell 257,329.53,76.93,0,5,I,0.1816
Abell 258,49.38,57.91,2,6,I-II,0.1401
Abell 259,318.45,3.90,0,6,II-III,
Abell 260,64.90,-0.53,0,7,I,0.0196
Abell 261,76.68,76.97,0,,I-II,
Abell 262,65.78,33.96,0,3,III,0.0175
Abell 263,78.86,-25.55,2,3,II,0.1943
Abell 264,30.29,42.60,0,3,II,0.3362
Abell 265,354.12,-8.06,2,1,,
Abell 266,80.10,-23.55,0,6,II,0.3321
Abell 267,345.33,7.98,1,4,,0.2974
Abell 268,23.83,89.40,0,6,I-II,0.0552
Abell 269,157.91,2.85,0,4,II-III,0.3302
Abell 270,228.06,-16.43,0,2,I,0.0152
Abell 271,95.59,67.93,0,5,I,0.1350
Abell 272,107.90,85.67,2,,,0.2465
Abell 273,23.46,71.68,0,5,II-III,0.2512
Abell 274,257.89,53.01,2,5,I-II,0.3081
Abell 275,271.91,39.17,2,,II-III,0.0135
Abell 276,163.02,30.89,3,4,II,0.2577
Abell 277,170.13,80.16,1,6,I-II,0.1434
Abell 278,209.26,76.88,0,2,II,0.2280
Abell 279,75.49,70.66,1,3,I-II,0.1139
Abell 280,345.73,50.46,0,3,III,0.0231
Abell 281,208.98,-8.07,0,4,II-III,0.1283
Abell 282,34.64,-14.66,1,6,II,0.3350
Abell 283,115.01,25.53,3,4,III,0.0234
Abell 284,107.16,63.71,1,4,II-III,0.2140
Abell 285,332.61,-10.21,0,5,I-II,0.3500
Abell 286,52.74,29.70,1,4,II,0.1253
Abell 287,0.52,62.13,0,6,I,0.1676
Abell 288,120.97,18.41,1,6,I,0.2323
Abell 289,12.61,2.71,0,5,II-III,0.0470
Abell 290,223.64,8.84,3,5,III,0.2473
Abell 291,141.61,16.15,1,6,III,0.0484
Abell 292,228.86,-1.78,0,5,II,0.2038
Abell 293,104.66,14.20,2,4,I,
Abell 294,12.89,84.34,0,5,III,0.2857
Abell 295,145.42,62.89,2,4,III,0.1081
Abell 296,132.76,10.78,0,6,I,
Abell 297,173.90,27.62,2,6,I-II,0.0797
Abell 298,188.24,-23.41,1,4,I-II,0.2843
Abell 299,191.29,5.91,0,7,,0.1538
Abell 300,156.36,-26.05,1,4,III,0.1819
Abell 301,251.06,65.42,1,7,I-II,
Abell 302,23.01,4.29,0,4,I-II,
Abell 303,64.70,41.09,2,4,I,0.1916
Abell 304,19.23,0.97,0,,I-II,0.3075
Abell 305,247.23,60.83,2,4,III,0.1400
Abell 306,110.90,-7.44,1,6,II,0.1153
Abell 307,45.60,32.38,1,2,I,0.0693
Abell 308,264.58,-14.66,0,5,III,0.3061
Abell 309,265.59,36.97,2,7,II,0.0338
Abell 310,184.58,2.64,0,6,III,0.3380
Abell 311,47.18,0.27,1,4,II,0.1336
Abell 312,178.31,4.97,0,5,I,0.0827
Abell 313,313.46,85.45,1,5,III,0.2952
Abell 314,75.98,58.57,0,6,I-II,0.1945
Abell 315,188.66,52.29,2,5,I,0.1863
Abell 316,104.99,22.35,0,4,I-II,0.2944
Abell 317,312.93,50.92,3,3,,0.3151
Abell 318,168.49,65.22,2,6,,0.1105
Abell 319,23.04,88.38,0,2,I-II,0.2077
Abell 320,181.87,88.61,0,6,II-III,0.1005
Abell 321,216.18,1.47,1,6,I,0.0232
Abell 322,11.37,12.39,0,4,II,0.1958
Abell 323,269.62,-17.76,4,4,III,0.1879
Abell 324,130.24,89.01,2,5,II,0.2338
Abell 325,33.68,1.29,1,4,II,0.1670
Abell 326,238.70,57.84,2,4,,0.0703
Abell 327,164.75,25.22,0,3,I,
Abell 328,86.34,89.43,0,,I,0.1783
Abell 329,37.78,-17.82,1,6,I-II,0.1959
Abell 330,149.30,-10.21,1,7,,0.2833
Abell 331,294.59,5.57,1,4,II-III,0.3492
Abell 332,84.18,37.54,4,2,I,0.1636
Abell 333,270.26,67.78,1,6,I-II,0.2972
Abell 334,223.89,74.96,0,5,I-II,0.3178
Abell 335,223.96,-23.36,0,7,III,
Abell 336,212.94,61.57,0,7,II,0.1402
Abell 337,143.19,16.95,1,,I-II,0.1144
Abell 338,344.64,-22.74,0,6,,0.3027
Abell 339,237.41,70.01,0,,II,0.1496
Abell 340,219.31,-6.67,3,,I,0.1785
Abell 341,100.23,60.70,3,4,I-II,0.0170
Abell 342,302.52,48.73,0,6,III,0.1474
Abell 343,316.21,18.98,2,3,II-III,0.1272
Abell 344,210.57,13.65,0,7,II,0.1554
Abell 345,66.20,66.82,0,7,II,0.1339
Abell 346,187.48,-26.68,1,5,I-II,0.3342
Abell 347,84.41,41.86,1,4,I-II,0.0187
Abell 348,210.67,-18.12,0,4,,0.1199
Abell 349,46.65,-25.61,1,3,I-II,0.0694
Abell 350,77.78,67.94,2,4,I,
Abell 351,5.15,41.83,2,6,I-II,0.0150
Abell 352,150.98,-23.81,2,5,I,
Abell 353,57.06,-5.92,2,6,II,
Abell 354,85.01,-0.20,3,6,,0.1716
Abell 355,316.08,59.53,0,5,,0.0242
Abell 356,32.01,-22.32,2,2,,
Abell 357,53.65,39.55,0,2,II-III,0.1207
Abell 358,261.40,39.22,1,7,I,0.0874
Abell 359,262.56,3.56,2,4,III,
Abell 360,247.35,-25.03,1,7,III,0.2235
Abell 361,88.85,-17.50,2,4,I-II,0.3147
Abell 362,91.58,60.24,5,6,II,0.1568
Abell 363,183.07,-8.59,2,5,,0.1403
Abell 364,116.17,54.99,1,2,I-II,
Abell 365,5.68,15.07,0,3,II-III,0.0232
Abell 366,162.47,46.16,1,4,,0.2141
Abell 367,96.16,36.73,1,5,II,
Abell 368,71.71,28.08,0,6,,0.0494
Abell 369,345.83,73.65,0,4,III,0.3498
Abell 370,45.38,72.35,0,5,II-III,0.3011
Abell 371,223.00,-13.91,2,5,,0.3279
Abell 372,300.90,-6.65,1,4,III,0.1629
Abell 373,144.62,1.59,0,5,,0.0263
Abell 374,313.00,58.78,1,6,III,0.2956
Abell 375,244.32,0.40,0,6,II,0.0503
Abell 376,89.50,36.90,1,5,III,0.0484
Abell 377,57.90,-2.03,0,5,I-II,0.1817
Abell 378,89.21,45.57,0,6,,0.0943
Abell 379,306.97,40.04,2,2,III,0.2335
Abell 380,291.61,70.36,1,2,,0.3052
Abell 381,68.20,29.77,3,4,I,0.3180
Abell 382,241.90,-25.97,1,6,I-II,0.0355
Abell 383,27.00,-14.86,0,6,III,0.3180
Abell 384,36.56,15.15,1,4,III,0.1938
Abell 385,149.73,57.65,1,,I-II,0.3163
Abell 386,205.33,83.54,2,6,III,0.0169
Abell 387,131.13,3.11,1,5,,0.1534
Abell 388,294.97,24.42,0,5,I-II,
Abell 389,353.06,39.08,0,4,,0.2927
Abell 390,281.19,62.09,2,5,II-III,0.1784
Abell 391,92.67,26.53,3,6,II-III,0.3398
Abell 392,269.13,-14.19,2,5,II,
Abell 393,88.97,38.43,1,6,II-III,0.2252
Abell 394,145.70,62.30,0,7,I-II,
Abell 395,267.99,55.08,1,5,,0.2909
Abell 396,92.75,-19.83,0,5,I-II,0.1050
Abell 397,282.08,-9.08,0,5,I-II,0.3383
Abell 398,149.98,-25.81,2,4,II,0.3268
Abell 399,93.50,13.03,1,5,II-III,0.0718
Abell 400,93.59,3.09,1,5,II-III,0.0236
Abell 401,93.71,13.57,1,5,II-III,0.0738
Abell 402,109.38,67.02,1,5,II,0.0270
Abell 403,277.72,26.76,3,5,I-II,0.2159
Abell 404,69.01,-3.77,1,4,II-III,0.3143
Abell 405,235.79,-4.23,3,3,I-II,
Abell 406,37.20,19.40,0,5,I,0.0541
Abell 407,69.47,54.85,1,4,I,0.1805
Abell 408,10.21,55.81,3,2,II-III,0.2586
Abell 409,154.29,78.63,1,7,II-III,0.1405
Abell 410,289.09,26.91,0,4,II,0.3268
Abell 411,306.24,-18.04,1,5,I,
Abell 412,310.83,5.36,1,7,III,0.0744
Abell 413,169.44,59.06,2,5,II-III,
Abell 414,93.68,49.81,1,,I-II,0.0822
Abell 415,51.76,-14.64,2,3,II-III,0.1705
Abell 416,315.69,70.45,0,6,I-II,0.0235
Abell 417,88.73,3.68,1,5,I-II,0.0498
Abell 418,339.54,-25.30,0,6,II-III,0.2892
Abell 419,77.41,77.58,2,6,III,0.2544
Abell 420,92.88,-19.21,1,4,II-III,0.0160
Abell 421,332.55,66.34,2,5,III,0.0508
Abell 422,352.69,88.62,0,7,II-III,0.0231
Abell 423,97.28,33.15,0,5,I-II,0.0929
Abell 424,60.80,13.44,1,6,III,
Abell 425,268.70,65.91,2,5,II,0.0713
Abell 426,49.95,41.51,2,1,II-III,0.0179
Abell 427,290.19,67.31,1,5,II,
Abell 428,156.65,59.30,1,6,I,0.3360
Abell 429,333.34,46.30,1,6,,0.1261
Abell 430,164.38,64.81,0,2,II-III,
Abell 431,255.99,27.77,1,7,III,0.1779
Abell 432,127.70,56.32,1,6,II,0.2843
Abell 433,30.13,-3.12,1,1,,
Abell 434,75.83,54.52,4,7,II,0.2729
Abell 435,287.81,-8.06,1,6,,0.3311
Abell 436,174.94,42.91,0,6,III,0.2434
Abell 437,140.68,15.07,3,5,I-II,0.2589
Abell 438,176.65,72.79,0,2,,0.3226
Abell 439,45.63,-18.01,3,6,,0.3489
Abell 440,118.13,45.74,0,3,,
Abell 441,146.36,58.06,1,5,I,0.3410
Abell 442,178.37,23.55,0,5,I,0.2049
Abell 443,140.81,68.07,1,1,I,0.0785
Abell 444,72.05,-20.39,0,2,III,0.1273
Abell 445,248.52,68.77,0,,III,0.1946
Abell 446,166.70,28.61,3,7,II,
Abell 447,14.05,87.04,1,1,I-II,
Abell 448,164.55,70.33,5,5,II,0.3453
Abell 449,16.11,7.67,1,4,III,0.0710
Abell 450,105.05,70.70,1,6,,0.0306
Abell 451,280.63,82.13,1,4,II-III,0.1070
Abell 452,91.78,65.75,0,7,I-II,0.0796
Abell 453,295.13,10.40,0,5,III,
Abell 454,175.41,8.48,2,3,I,0.1736
Abell 455,94.12,81.08,2,5,I,0.1901
Abell 456,120.18,80.51,0,3,II-III,0.0816
Abell 457,245.26,-22.20,0,4,I,0.1990
Abell 458,336.32,11.63,2,4,II,0.0988
Abell 459,233.39,82.71,1,7,II,
Abell 460,95.34,47.55,3,,II-III,0.1012
Abell 461,196.19,17.46,0,3,I-II,0.0228
Abell 462,245.16,22.95,3,,I-II,0.0749
Abell 463,246.27,42.19,2,6,I-II,0.0733
Abell 464,278.34,39.13,1,5,I-II,0.3050
Abell 465,226.00,5.49,2,4,I-II,0.1128
Abell 466,205.14,-15.01,1,4,II,
Abell 467,28.43,8.36,0,,II-III,0.2584
Abell 468,315.42,20.70,0,5,II-III,0.3002
Abell 469,172.81,-20.12,1,5,II-III,0.2489
Abell 470,195.75,53.51,3,5,II-III,0.3114
Abell 471,288.98,79.61,3,4,III,0.0697
Abell 472,82.56,-0.79,0,6,,
Abell 473,22.09,51.11,1,3,II-III,0.3249
Abell 474,227.50,85.23,0,7,I,0.3201
Abell 475,198.92,79.18,1,6,I,0.2339
Abell 476,183.84,50.81,2,,,0.3316
Abell 477,4.85,2.59,0,,,
Abell 478,131.42,48.36,1,6,II-III,0.3356
Abell 479,285.29,-26.32,0,3,,0.1301
Abell 480,305.49,76.42,1,6,III,0.3310
Abell 481,139.31,20.85,1,5,I,0.2238
Abell 482,355.54,80.01,1,6,,
Abell 483,36.69,11.94,0,5,II,0.2754
Abell 484,258.49,42.36,1,5,I,0.2925
Abell 485,116.11,17.73,0,5,III,0.1652
Abell 486,165.38,-23.28,0,5,II-III,0.3165
Abell 487,103.46,39.03,1,4,I,0.0651
Abell 488,192.65,-14.99,0,6,II-III,0.3176
Abell 489,316.23,34.04,1,6,I,
Abell 490,108.78,42.43,1,5,III,0.1059
Abell 491,37.08,48.75,0,5,II-III,0.2102
Abell 492,29.70,-21.62,2,,II,
Abell 493,282.06,-21.67,0,1,I-II,0.2310
Abell 494,179.09,89.63,1,,III,0.3230
Abell 495,70.01,42.04,1,6,I-II,0.3245
Abell 496,68.41,-13.26,1,3,I,0.0328
Abell 497,103.68,-24.19,1,4,I-II,0.3123
Abell 498,8.40,-0.17,0,3,,0.1865
Abell 499,135.33,-7.17,0,5,III,0.0318
Abell 500,7.85,79.56,1,4,II-III,0.3468
Abell 501,327.00,51.82,1,5,,0.2023
Abell 502,45.09,70.54,2,5,II,0.1113
Abell 503,163.79,23.98,1,5,II,
Abell 504,134.19,-12.55,0,6,II-III,
Abell 505,128.47,18.29,0,6,I,0.2262
Abell 506,112.95,71.74,3,4,III,0.0362
Abell 507,191.32,43.24,1,5,III,0.0943
Abell 508,194.09,79.55,0,6,III,0.2187
Abell 509,326.74,61.01,2,4,II-III,
Abell 510,284.96,75.68,0,4,III,
Abell 511,48.35,50.33,0,6,II,0.2119
Abell 512,200.17,76.79,0,6,II,0.1963
Abell 513,328.54,-6.90,1,4,II,0.1371
Abell 514,81.71,10.76,1,3,I,0.2874
Abell 515,239.60,28.02,2,3,III,0.2036
Abell 516,253.15,84.94,3,,II-III,0.0760
Abell 517,86.91,70.18,1,7,II-III,0.3047
Abell 518,245.79,72.28,1,5,II-III,0.2232
Abell 519,252.02,-21.71,1,5,II-III,0.2621
Abell 520,57.17,-11.16,1,6,II-III,0.2554
Abell 521,48.46,60.22,1,5,,0.0628
Abell 522,304.63,0.72,0,,II-III,0.3231
Abell 523,44.04,62.76,3,5,II-III,0.0587
Abell 524,297.09,86.66,0,4,II,0.3005
Abell 525,221.69,67.88,1,5,III,0.2414
Abell 526,352.61,14.96,0,5,II-III,0.0468
Abell 527,229.21,-17.31,0,1,,0.1022
Abell 528,186.20,21.09,0,6,I-II,0.1677
Abell 529,164.18,-7.46,0,6,I,0.1455
Abell 530,265.61,84.97,0,6,II,
Abell 531,110.55,65.40,1,,II-III,0.0723
Abell 532,215.32,29.53,3,4,III,0.1082
Abell 533,332.73,75.56,2,6,III,
Abell 534,119.68,8.15,1,6,I,0.2401
Abell 535,109.72,-23.25,1,4,I,0.1088
Abell 536,26.13,37.36,1,5,II-III,
Abell 537,150.62,15.62,0,5,I-II,0.1751
Abell 538,349.81,-22.17,2,6,,0.1479
Abell 539,79.16,6.44,1,3,III,0.0288
Abell 540,36.50,29.41,0,6,,
Abell 541,96.75,50.40,0,4,,0.2012
Abell 542,115.93,13.99,0,6,,0.1902
Abell 543,329.64,81.24,1,4,I,0.1293
Abell 544,58.26,78.63,0,7,I-II,0.0703
Abell 545,61.35,7.37,0,3,I-II,0.0904
Abell 546,176.72,-24.23,0,5,I,0.0774
Abell 547,217.37,55.01,0,6,II,0.1467
Abell 548,87.32,-25.95,1,3,I-II,0.0424
Abell 549,30.35,48.52,1,5,II-III,0.0215
Abell 550,204.52,65.45,0,2,II-III,0.1963
Abell 551,308.11,-17.86,0,5,III,
Abell 552,309.96,39.79,1,5,II,
Abell 553,183.26,32.79,0,6,III,0.1765
Abell 554,77.77,13.99,1,6,III,0.0886
Abell 555,62.87,-17.88,0,,II-III,0.2400
Abell 556,331.22,75.57,0,5,II,0.0271
